date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:48	143/143	U-----	200	untouched ('OK')	text/plain	date:Tue,%2030%20Apr%202024%2006:23:46%20GMT	https://www.plannedparenthood.org/robots.txt		(from )
14:27:48	107581/107581	U-----	200	untouched ('OK')	text/html	date:Tue,%2030%20Apr%202024%2006:23:43%20GMT	https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex.html	(from )
14:27:49	497250/497250	U-----	200	untouched ('OK')	text/css	etag:W/%22661fe36b-79662%22	https://www.plannedparenthood.org/static/css/learn_pages_minimal.2f3cff178aa9.css	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/static/css/learn_pages_minimal.2f3cff178aa9.css	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:49	5471/5471	U-----	200	untouched ('')	application/javascript	etag:W/%224f35e297d7ae8dbd6e7c55ccb6bf96ca%22	https://try.abtasty.com/4a5beb0972e219edcff0400029191b52.js	C:/CollectionofIntersexinIslam/What%20is%20Intersex/try.abtasty.com/4a5beb0972e219edcff0400029191b52.js	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:49	3133/3133	U-----	200	untouched ('')	image/png	etag:%22661fe368-1122%22	https://www.plannedparenthood.org/static/assets/favicons/pp-blue-apple-icon-152x152.1023ff321906.png	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/static/assets/favicons/pp-blue-apple-icon-152x152.1023ff321906.png	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:55	108700/108700	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2030%20Apr%202024%2006:23:52%20GMT	https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/what-are-gender-roles-and-stereotypes	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/what-are-gender-roles-and-stereotypes.html	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:56	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Apr%202024%2006:27:56%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/CollectionofIntersexinIslam/What%20is%20Intersex/connect.facebook.net/en_US/sdk.8.delayed	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:56	12081/12081	U-----	200	untouched ('OK')	text/css	etag:W/%2208db19c89ed09d2e1ba77ece49349e3b%22	https://fast.fonts.net/cssapi/cb6b236d-f129-416d-8196-4f29ffe0c887.css	C:/CollectionofIntersexinIslam/What%20is%20Intersex/fast.fonts.net/cssapi/cb6b236d-f129-416d-8196-4f29ffe0c887.css	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:57	523491/523491	U-----	200	untouched ('')	application/javascript	etag:W/%22661fe36b-7fce3%22	https://www.plannedparenthood.org/static/js/aslDatepicker.bundle.bde17e4e6e65.js	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/static/js/aslDatepicker.bundle.bde17e4e6e65.js	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:59	3093/3093	U--M-Z	200	updated ('OK')	application/x-javascript	etag:%22395f1d879db7861e2290e7c59730c880%22	https://connect.facebook.net/en_US/sdk.js	C:/CollectionofIntersexinIslam/What%20is%20Intersex/connect.facebook.net/en_US/sdk.js	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:59	479211/479211	U-----	200	untouched ('')	application/javascript	etag:W/%22661fe36c-74feb%22	https://www.plannedparenthood.org/static/js/learnPagesMinimal.bundle.0ed94363c878.js	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/static/js/learnPagesMinimal.bundle.0ed94363c878.js	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:27:59	0/0	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2030%20Apr%202024%2006:27:57%20GMT	https://ppfa.plannedparenthood.org/gtm.js?id=	C:/CollectionofIntersexinIslam/What%20is%20Intersex/ppfa.plannedparenthood.org/gtm.a5445.delayed	(from https://www.plannedparenthood.org/learn/gender-identity/sex-gender-identity/whats-intersex)
14:28:02	4178/4178	U-----	200	untouched ('')	image/gif	etag:%22661fe368-1052%22	https://www.plannedparenthood.org/static/assets/img/ajax-loader.c5cd7f530057.gif	C:/CollectionofIntersexinIslam/What%20is%20Intersex/www.plannedparenthood.org/static/assets/img/ajax-loader.c5cd7f530057.gif	(from https://www.plannedparenthood.org/static/css/learn_pages_minimal.2f3cff178aa9.css)
14:28:02	0/0	---M--	200	added ('OK')	text/css	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://fast.fonts.net/t/1.css?apiType=css&projectid=cb6b236d-f129-416d-8196-4f29ffe0c887	C:/CollectionofIntersexinIslam/What%20is%20Intersex/fast.fonts.net/t/1.ced34.delayed	(from https://fast.fonts.net/cssapi/cb6b236d-f129-416d-8196-4f29ffe0c887.css)
